Country,ISO3,Overall Rank,Overall Score,Economic Participation and Opportunity Rank,Economic Participation and Opportunity Score,Educational Attainment Rank,Educational Attainment Score,Health and Survival Rank,Health and Survival Score,Political Empowerment Rank,Political Empowerment Score
Suriname,SUR,110,0.6369,119,0.4986,39,0.9973,1,0.9796,110,0.0723
"Korea, Rep.",KOR,111,0.6351,118,0.5036,100,0.9592,75,0.973,86,0.1046
Bahrain,BHR,112,0.6334,117,0.5146,71,0.9911,112,0.9612,113,0.0667
Zambia,ZMB,113,0.6312,84,0.6354,121,0.8472,98,0.969,109,0.0732
Guatemala,GTM,114,0.6304,113,0.5422,102,0.9522,1,0.9796,123,0.0475
Qatar,QAT,115,0.6299,106,0.5735,53,0.9941,129,0.9522,135,0
Kuwait,KWT,116,0.6292,115,0.5252,57,0.9936,112,0.9612,126,0.037
Fiji,FJI,117,0.6286,120,0.4975,63,0.9925,1,0.9796,125,0.0448
Ethiopia,ETH,118,0.6198,93,0.6148,131,0.7451,68,0.9737,66,0.1457
Jordan,JOR,119,0.6093,128,0.4145,68,0.9915,90,0.9706,117,0.0607
Turkey,TUR,120,0.6081,127,0.4269,104,0.9431,59,0.9755,103,0.0868
Nepal,NPL,121,0.6053,116,0.5151,130,0.7462,112,0.9612,41,0.1989
Oman,OMN,122,0.6053,123,0.4489,94,0.9745,59,0.9755,132,0.0221
Lebanon,LBN,123,0.6028,126,0.442,87,0.9796,1,0.9796,133,0.0099
Algeria,DZA,124,0.5966,133,0.3307,106,0.9387,108,0.9661,62,0.1511
Egypt,EGY,125,0.5935,125,0.4426,108,0.9199,51,0.9768,128,0.0348
Benin,BEN,126,0.5885,31,0.7419,136,0.5127,112,0.9612,72,0.1383
Saudi Arabia,SAU,127,0.5879,134,0.3223,90,0.9761,52,0.9762,105,0.0769
Mali,MLI,128,0.5872,107,0.5668,132,0.7291,54,0.9761,106,0.0769
Morocco,MAR,129,0.5845,129,0.3949,109,0.9002,88,0.9712,111,0.072
"Iran, Islamic Rep.",IRN,130,0.5842,130,0.3655,98,0.9653,87,0.9714,129,0.0346
C»te d'Ivoire,CIV,131,0.5814,110,0.5561,133,0.7141,1,0.9796,107,0.0758
Mauritania,MRT,132,0.581,131,0.3651,119,0.8591,1,0.9796,82,0.1201
Syria,SYR,133,0.5661,136,0.2508,96,0.9682,58,0.9756,112,0.0697
Chad,TCD,134,0.5588,75,0.6547,135,0.5311,112,0.9612,102,0.0883
Pakistan,PAK,135,0.5459,135,0.3108,129,0.7685,124,0.9557,64,0.1487
Yemen,YEM,136,0.5128,132,0.3577,134,0.698,81,0.9727,131,0.0227
