Country,Localite,Category,Value,Date,Sources,Link
Guinea,Kissidougou,Suspected cases,7,3/28/14,ECHO,http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf
Guinea,Lofa County,Suspected cases,8,3/28/14,ECHO,http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf
Guinea,Macenta,Suspected cases,21,3/28/14,ECHO,http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf
Guinea,National,Cases,122,3/31/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-1-avril-2014
Guinea,National,Confirmed cases,24,3/31/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-1-avril-2014
Guinea,National,Deaths,80,3/31/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-1-avril-2014
Guinea,National,Probable cases,78,3/31/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-1-avril-2014
Guinea,National,Suspected cases,22,3/31/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-1-avril-2014
Guinea,National,Cases,127,4/1/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-2-avril-2014-0
Guinea,National,Confirmed cases,35,4/1/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-2-avril-2014-0
Guinea,National,Deaths,83,4/1/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-2-avril-2014-0
Guinea,Conakry,Cases,18,4/4/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014
Guinea,Conakry,Deaths,5,4/4/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014
Guinea,Dabola and Djingaraye,Cases,4,4/4/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014
Guinea,Dabola and Djingaraye,Deaths,3,4/4/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014
Guinea,Gueckedou,Cases,85,4/4/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014
Guinea,Gueckedou,Deaths,59,4/4/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014
Guinea,Kissidougou,Cases,9,4/4/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014
Guinea,Kissidougou,Deaths,5,4/4/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014
Guinea,Macenta,Cases,27,4/4/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014
Guinea,Macenta,Deaths,14,4/4/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014
Guinea,National,Cases,143,4/4/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014
Guinea,National,Confirmed cases,54,4/4/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014
Guinea,National,Deaths,86,4/4/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014
Guinea,Conakry,Cases,20,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Conakry,Deaths,6,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Dabola ,Cases,4,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Dabola ,Deaths,3,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Dinguiraye ,Cases,1,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Dinguiraye ,Deaths,1,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Gueckedou,Cases,90,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Gueckedou,Deaths,63,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Kissidougou,Cases,9,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Kissidougou,Deaths,6,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Macenta,Cases,27,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Macenta,Deaths,16,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,National,Cases,151,4/7/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-7-avril-2014
Guinea,National,Deaths,95,4/7/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-7-avril-2014
Liberia,National,Cases,21,4/8/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF-Liberia%20SitRep%20%2312%20Ebola%20Viral%20Disease%208%20April%202014_1.pdf
Liberia,National,Confirmed cases,5,4/8/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF-Liberia%20SitRep%20%2312%20Ebola%20Viral%20Disease%208%20April%202014_1.pdf
Liberia,National,Deaths,10,4/8/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF-Liberia%20SitRep%20%2312%20Ebola%20Viral%20Disease%208%20April%202014_1.pdf
Liberia,National,Cases,22,4/9/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep%20No.%2013%20Ebola%20Viral%20Disease%209%20April%202014_2.pdf
Liberia,National,Confirmed cases,5,4/9/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep%20No.%2013%20Ebola%20Viral%20Disease%209%20April%202014_2.pdf
Liberia,National,Deaths,12,4/9/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep%20No.%2013%20Ebola%20Viral%20Disease%209%20April%202014_2.pdf
Guinea,National,Cases,157,4/10/14,WHO,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-10-april-2014
Guinea,National,Deaths,101,4/10/14,WHO,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-10-april-2014
Liberia,Bong County,Cases,4,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Bong County,Deaths,0,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Grand Cape Mount,Cases,1,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Grand Cape Mount,Deaths,0,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Lofa County,Cases,10,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Lofa County,Deaths,9,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Margibi County,Cases,6,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Margibi County,Deaths,1,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Montserrado County,Cases,1,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Montserrado County,Deaths,1,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,National,Cases,25,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,National,Confirmed cases,5,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,National,Deaths,12,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Nimba County,Cases,3,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Nimba County,Deaths,1,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Guinea,Conakry,Cases,31,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,Dabola ,Cases,5,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,Dinguiraye ,Cases,1,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,Gueckedou,Cases,95,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,Kissidougou,Cases,6,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,Macenta,Cases,21,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,National,Cases,159,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,National,Confirmed cases,71,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,National,Deaths,106,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,National,Probable cases,34,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,National,Suspected cases,54,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Liberia,Bong County,Cases,5,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Bong County,Deaths,0,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Grand Cape Mount,Cases,1,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Grand Cape Mount,Deaths,0,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Lofa County,Cases,10,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Lofa County,Deaths,9,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Margibi County,Cases,6,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Margibi County,Deaths,2,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Montserrado County,Cases,1,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Montserrado County,Deaths,1,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,National,Cases,26,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,National,Confirmed cases,5,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,National,Deaths,13,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Nimba County,Cases,3,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Nimba County,Deaths,1,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Guinea,National,Cases,168,4/14/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,National,Deaths,108,4/14/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,Conakry,Cases,47,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,Conakry,Deaths,16,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,Dabola ,Cases,4,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,Dabola ,Deaths,4,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,Dinguiraye ,Cases,1,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,Dinguiraye ,Deaths,1,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,Gueckedou,Cases,117,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,Gueckedou,Deaths,80,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,Kissidougou,Cases,6,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,Kissidougou,Deaths,5,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,Macenta,Cases,22,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,Macenta,Deaths,16,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,National,Cases,197,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,National,Confirmed cases,101,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,National,Deaths,122,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,National,Probable cases,43,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,National,Suspected cases,53,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Liberia,Bong County,Cases,5,4/16/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf
Liberia,Bong County,Deaths,0,4/16/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf
Liberia,Grand Cape Mount,Cases,1,4/16/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf
Liberia,Grand Cape Mount,Deaths,0,4/16/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf
Liberia,Lofa County,Cases,10,4/16/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf
Liberia,Lofa County,Deaths,9,4/16/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf
Liberia,Margibi County,Cases,6,4/16/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf
Liberia,Margibi County,Deaths,2,4/16/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf
Liberia,Montserrado County,Cases,1,4/16/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf
Liberia,Montserrado County,Deaths,1,4/16/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf
Liberia,National,Cases,27,4/16/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf
Liberia,National,Confirmed cases,6,4/16/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf
Liberia,National,Deaths,13,4/16/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf
Liberia,Nimba County,Cases,4,4/16/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf
Liberia,Nimba County,Deaths,1,4/16/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf
Guinea,Conakry,Cases,50,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Conakry,Deaths,20,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Dabola ,Cases,4,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Dabola ,Deaths,4,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Dinguiraye ,Cases,1,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Dinguiraye ,Deaths,1,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Gueckedou,Cases,120,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Gueckedou,Deaths,83,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Kissidougou,Cases,6,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Kissidougou,Deaths,5,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Macenta,Cases,22,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Macenta,Deaths,16,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,National,Cases,203,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,National,Confirmed cases,109,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,National,Deaths,129,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Liberia,National,Cases,27,4/18/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/18th%20%20April%202014%20pdf%281%29_0.pdf
Liberia,National,Confirmed cases,6,4/18/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/18th%20%20April%202014%20pdf%281%29_0.pdf
Liberia,National,Deaths,13,4/18/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/18th%20%20April%202014%20pdf%281%29_0.pdf
Guinea,Conakry,Cases,53,4/20/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-22-april-2014
Guinea,Conakry,Deaths,23,4/20/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-22-april-2014
Guinea,Dabola ,Cases,4,4/20/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-22-april-2014
Guinea,Dabola ,Deaths,4,4/20/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-22-april-2014
